q,emp_mean_lambda,emp_F_at_0p5,paper_F_at_0p5,code_analytic_F_at_0p5,matches_paper,matches_1_over_q
0.1,0.0908,0.999,0.067,0.999,False,True
0.1229,0.1095,0.9963,0.0816,0.9965,False,True
0.151,0.1308,0.9898,0.0993,0.9899,False,True
0.1855,0.1564,0.976,0.1206,0.9762,False,True
0.2279,0.1858,0.9521,0.1461,0.9523,False,True
0.28,0.2192,0.9152,0.1764,0.9159,False,True
0.344,0.2555,0.8677,0.2121,0.8667,False,True
0.4226,0.2972,0.8058,0.2539,0.8061,False,True
0.5192,0.3412,0.7375,0.3023,0.7368,False,True
0.6379,0.39,0.6629,0.3574,0.6626,False,True
0.7838,0.4392,0.5876,0.4192,0.587,False,True
0.963,0.4905,0.5128,0.487,0.5131,False,True
1.1831,0.542,0.4419,0.5596,0.4434,False,True
1.4536,0.5927,0.3783,0.6349,0.3793,False,True
1.786,0.6404,0.3223,0.71,0.3217,False,True
2.1943,0.6869,0.271,0.7815,0.2709,False,True
2.6959,0.7292,0.2262,0.8457,0.2267,False,True
3.3123,0.7684,0.1887,0.8993,0.1888,False,True
4.0696,0.803,0.1565,0.9404,0.1566,False,True
5.0,0.8328,0.1298,0.9688,0.1294,False,True
